,ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_forward,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
0,AAA,HSX,Hóa chất,3089.0,4.9,2.5,1.5,3.0,4.0,-0.2,1.0,74.8,52.9,0.4,0.2,11.7,0.6,5.3,3.6,,Giá nằm dưới SMA(20),1.27,6.66,27.36,-7.33,15.33,5.25,0.5,23.72,33.88,43.23,76.0,43.0,59.0,11.0,1.43,Mua < Bán,8.13,49.0,1.84,47.0,,Trung tính,-2297.0,3.0,,692.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.0,0.0,,Giá nằm trên SMA(50),,,,,Trung tính,-0.85,-0.12,,0.62,-0.12,-17.0,-17.49,Có,50.0,-38.8,-9.8,264.6,-17.0,30.1,-10.7,-66.4,-18.2,-62.9,32.3,265.0,Giá nằm trên SMA(100),,0.62,2108.2,3480.9,4231.6,3882.4,74.8,5.0,-40.1,168.2,-0.4,-0.3,121.0,2310.0,0.2,2.2,,,,-42.91,6.35,5249.0,692.0,3.9,-2.9,2.9,9.7
1,AAM,HSX,Thực phẩm và đồ uống,76.0,-0.1,,1.1,,4.2,0.0,0.5,100.0,29.9,6.5,0.4,-281.1,0.4,-0.7,0.0,,Giá nằm dưới SMA(20),12.23,-6.62,,,13.48,1.75,0.0,0.05,0.05,0.06,28.0,51.0,75.0,45.0,0.0,,7.29,51.0,0.79,50.0,,Mua,-2.0,1.0,,-26.0,MACD Histogram < 0 và tăng dần,0.0,0.1,0.0,0.0,,Giá nằm trên SMA(50),,,,,Trung tính,-0.14,-1.22,,0.0,-1.22,-1.49,-34.03,Có,30.0,108.9,39.9,-0.3,89.2,57.3,,,-8.3,-56.7,21.7,43.8,Giá nằm trên SMA(100),,0.0,6.6,5.6,7.6,7.3,11.8,0.0,18.3,-6.6,,3.0,1.0,64.0,0.4,-0.1,,,,,,199.0,-26.0,3.8,-0.2,1.0,3.0
2,AAT,HSX,Hàng cá nhân & Gia dụng,244.0,0.0,2.3,1.4,2.9,3.2,-0.1,0.6,60.1,55.9,3.0,1.1,-1526.6,0.3,13.7,0.0,,Giá nằm dưới SMA(20),-2.73,14.49,,,10.62,2.86,0.5,0.27,0.39,0.48,34.0,63.0,14.0,15.0,0.06,Mua > Bán,3.44,53.5,0.82,32.0,,Mua,-6.0,2.0,,-2.0,MACD Histogram < 0 và tăng dần,0.3,0.2,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-1.15,0.58,,-0.29,0.58,-14.64,,Có,85.0,-140.8,-24.9,-0.2,-0.3,1.3,270.1,349.7,-18.1,-81.6,42.1,32.3,Giá nằm trên SMA(100),,-0.29,61.8,102.1,116.6,123.9,,1.0,-13.5,-46.4,0.0,15.1,5.0,179.0,0.4,0.0,,,,,,715.0,-2.0,5.4,-0.3,3.5,8.7
3,ABR,HSX,Hàng & Dịch vụ Công nghiệp,271.0,6.0,2.9,3.0,3.5,4.2,0.0,0.4,100.0,55.6,86.8,,16.4,1.0,16.1,17.5,,Giá nằm trên SMA(20),-53.62,-1.64,-36.29,18.64,92.22,53.06,0.0,0.07,0.06,0.04,96.0,21.0,5.0,2.0,0.03,,13.9,63.7,48.42,31.0,,Mua mạnh,-3.0,0.0,0.0,825.0,MACD Histogram > 0 và tăng dần,0.4,0.5,0.6,0.8,,Giá nằm trên SMA(50),,,,,Trung tính,2.21,9.02,,2.58,9.02,32.7,-32.41,Có,4.0,3.6,3.1,16.5,,-61.4,-39.3,-22.9,-14.2,-52.1,43.6,479.6,Giá nằm trên SMA(100),,2.58,5.4,4.3,3.1,2.5,88.4,0.0,-1.6,-9.7,,5.3,3.0,6.0,10.8,5.0,,,,3.09,,263.0,825.0,11.6,4.3,7.0,6.8
4,ABS,HSX,Hóa chất,302.0,-35.2,3.0,1.1,3.0,4.0,-0.1,0.9,76.7,37.5,0.2,0.3,-1.1,0.5,-1.3,0.0,,Giá nằm dưới SMA(20),-61.36,-12.91,-70.61,-40.63,4.23,,0.1,0.91,1.35,1.88,85.0,94.0,91.0,8.0,0.03,,3.79,48.0,0.0,70.0,,Bán,0.0,,1.0,-3447.0,MACD Histogram < 0 và tăng dần,0.1,0.0,0.0,0.0,,Giá cắt lên SMA(50),,,,,Trung tính,-2.07,-0.79,,0.53,-0.79,-12.47,-61.9,Có,90.0,-20.4,-8.5,-275.7,-79.6,83.0,-8060.4,-149.2,-27.8,-94.6,17.3,15.2,Giá nằm trên SMA(100),,0.53,175.3,274.8,425.1,456.6,0.0,0.0,-46.5,,0.1,0.0,-270.0,35.0,1.0,-23.1,,,,,,645.0,-3447.0,-6.2,-1.4,0.3,3.8
5,ABT,HSX,Thực phẩm và đồ uống,740.0,25.4,3.4,3.7,3.0,4.8,0.2,0.5,,34.4,,,5.3,1.2,5.6,8.1,,,9.54,10.07,58.9,15.26,30.49,34.51,0.1,0.44,0.72,1.27,5.0,93.0,90.0,90.0,,,,,1.92,70.0,,,13.0,3.0,,11886.0,,,,,,,,,,,,,,,,,,,,Có,13.0,-7.6,-7.4,140.0,11.9,34.4,81.6,98.2,,,,,,,,,,,,91.0,1.0,8.4,176.6,-0.1,0.1,61.0,177.0,1.1,19.7,,,,96.61,327.15,597.0,11886.0,,,,
6,ACB,HSX,Ngân hàng,142029.0,21.0,3.1,4.3,4.2,2.9,0.0,1.0,59.2,76.1,0.2,0.4,8.4,1.6,,4.6,,Giá nằm trên SMA(20),2.35,15.8,4.64,8.0,,52.53,,926.16,916.87,645.71,23.0,89.0,77.0,73.0,99.84,Mua > Bán,27.55,62.0,29.99,66.0,Chờ mua,Mua,-403.0,2.0,,3305.0,MACD Histogram > 0 và giảm dần,0.1,0.1,0.1,0.2,Giá cắt xuống SMA(10),Giá nằm trên SMA(50),,,,,Trung tính,-1.61,16.74,,-0.36,16.74,34.86,241.53,Có,85.0,,,16975.2,7.4,-3.1,9.2,-5.8,-6.6,-6.5,58.9,1544.2,Giá nằm trên SMA(100),,-0.36,24038.8,29839.6,24771.6,18295.6,24.6,,17.4,32.7,0.5,2.5,4881.0,9293.0,,2.0,1.3,3.2,,3.39,175.7,87211.0,3305.0,26.8,6.4,16.1,24.1
7,ACC,HSX,Xây dựng và Vật liệu,1459.0,3.9,2.1,1.9,3.5,2.8,0.0,0.1,,51.7,4.3,0.7,28.2,1.1,28.0,0.0,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),7.43,8.13,-24.76,-18.81,11.67,4.18,0.8,0.08,0.15,0.15,41.0,43.0,23.0,39.0,0.01,,13.8,41.0,7.47,36.0,,Bán mạnh,0.0,0.0,0.0,492.0,MACD Histogram < 0 và giảm dần,0.2,0.1,0.1,0.0,,Giá nằm dưới SMA(50),,,,,Trung tính,-1.43,-1.43,,-0.72,-1.43,2.99,172.92,Có,30.0,-76.1,-37.8,51.7,37.0,17.0,9.7,-13.1,-8.3,-44.4,7.8,605.3,Giá nằm dưới SMA(100),,-0.72,4.2,10.1,9.5,37.9,79.1,3.0,51.3,-7.7,,-1.0,8.0,197.0,1.9,2.0,,,,-27.46,0.67,1343.0,492.0,-2.7,-0.9,-1.3,-1.9
8,ACG,HSX,Tài nguyên Cơ bản,,,2.5,2.0,3.0,4.8,-0.1,0.5,30.0,66.7,15.3,2.3,,,,,,Giá nằm dưới SMA(20),,,,,,,,0.29,0.54,0.96,17.0,30.0,31.0,18.0,0.07,,37.0,42.2,38.46,24.0,,Bán,-12.0,,1.0,,MACD Histogram < 0 và giảm dần,0.3,0.2,0.1,0.1,,Giá nằm dưới SMA(50),,,,,Trung tính,-0.54,-3.01,,0.0,-3.01,-10.04,,Có,8.0,,,,,,,,-12.9,-34.3,15.7,32.3,Giá nằm trên SMA(100),,0.0,6.1,11.0,21.3,22.6,88.5,,19.8,62.3,,,138.0,961.0,,,,,,,,4250.0,,-2.8,-1.4,-0.2,1.2
9,ACL,HSX,Thực phẩm và đồ uống,612.0,1.8,2.2,1.3,3.0,2.6,-0.1,0.6,,48.1,2.0,2.2,42.8,0.7,20.0,0.0,,Giá cắt xuống SMA(20),56.6,4.29,9.26,-40.28,10.5,1.03,1.0,0.29,0.46,0.48,57.0,84.0,58.0,36.0,0.05,,11.9,42.8,2.15,59.0,,Bán,0.0,0.0,0.0,285.0,MACD Histogram < 0 và giảm dần,0.3,0.1,0.1,0.1,Giá cắt xuống SMA(10),Giá cắt xuống SMA(50),,,Tín hiệu bán,,Trung tính,-2.46,-4.42,,-2.46,-4.42,-0.42,-19.64,Có,25.0,-118.5,-39.8,14.3,3.5,32.3,115.9,13.9,-6.3,-61.9,42.2,585.5,Giá nằm trên SMA(100),,-2.46,15.4,36.0,37.8,73.8,5.7,1.0,39.0,131.7,-0.3,1.5,6.0,581.0,0.3,0.8,,,,28.17,-61.15,819.0,285.0,5.1,-2.3,-0.7,7.4
10,ADG,HSX,Truyền thông,205.0,3.2,2.2,1.5,2.9,4.6,-0.1,0.6,,6.5,13.7,0.2,19.8,0.6,19.1,0.0,,Giá nằm dưới SMA(20),12.7,5.06,-11.38,-15.93,13.98,4.35,0.1,0.1,0.12,0.16,8.0,3.0,5.0,25.0,0.01,,9.6,43.0,40.26,10.0,,Bán,27.0,1.0,,485.0,MACD Histogram < 0 và tăng dần,0.3,0.1,0.0,0.0,,Giá nằm dưới SMA(50),,,,,Trung tính,-1.13,-5.42,,0.0,-5.42,-24.71,-76.95,Có,30.0,-8.8,-3.7,10.4,-3.4,-0.1,-53.6,,-26.7,-83.2,13.9,12.7,Giá nằm trên SMA(100),,0.0,1.9,10.4,13.5,25.9,33.5,0.0,36.1,,0.1,-0.4,5.0,114.0,0.4,2.2,,,,-56.08,,331.0,485.0,-5.2,-3.2,-2.2,0.5
11,ADP,HSX,Xây dựng và Vật liệu,621.0,28.8,3.2,3.5,3.0,5.0,0.0,0.3,91.2,75.0,12.7,1.5,7.8,2.2,6.2,12.9,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),58.43,8.44,44.76,15.53,19.46,12.86,0.0,0.75,0.74,0.54,72.0,42.0,84.0,77.0,0.24,,26.6,32.2,0.85,69.0,,Bán,-2.0,,1.0,3459.0,MACD Histogram > 0 và giảm dần,0.3,0.4,0.4,0.8,Giá cắt xuống SMA(10),Giá nằm dưới SMA(50),,,,,Trung tính,-1.12,-7.8,,-1.3,-7.8,-5.38,275.08,Có,30.0,1.8,3.3,79.7,-28.4,20.7,-18.5,-2.2,-11.6,-20.2,3.6,,Giá nằm dưới SMA(100),,-1.3,26.8,25.3,21.2,12.0,,1.0,-12.5,2.5,-0.2,-0.6,23.0,176.0,0.8,21.2,,,,-13.0,45.8,284.0,3459.0,-4.2,-2.2,-5.9,-6.8
12,ADS,HSX,Hàng cá nhân & Gia dụng,666.0,8.1,2.7,2.5,2.8,3.4,-0.1,0.6,70.8,56.8,1.3,6.5,8.9,0.7,7.3,6.1,,Giá cắt lên SMA(20),-0.78,-0.91,-14.32,26.03,15.84,6.23,1.0,1.59,2.27,3.89,95.0,67.0,75.0,8.0,2.97,,9.09,57.6,0.16,61.0,,Mua,4.0,3.0,,977.0,MACD Histogram < 0 và tăng dần,2.6,1.5,1.1,1.2,Giá cắt lên SMA(10),Giá nằm trên SMA(50),,,Tín hiệu mua,Tín hiệu mua,Trung tính,1.0,7.45,,4.24,7.45,-7.44,101.66,Có,60.0,-119.7,-29.2,74.6,13.9,-8.5,317.3,39.4,-10.0,-64.3,37.2,151.6,Giá nằm trên SMA(100),,4.24,127.7,219.5,306.6,286.5,19.1,2.0,24.9,148.9,-0.7,0.1,28.0,446.0,0.4,2.9,,,,90.47,,898.0,977.0,10.1,0.8,6.7,12.9
13,AGG,HSX,Bất động sản,3186.0,5.2,2.3,3.2,3.0,2.4,0.0,0.8,47.0,19.8,0.1,0.2,19.6,1.0,26.7,0.0,,Giá nằm dưới SMA(20),-50.83,37.83,69.65,-14.24,85.29,41.57,0.4,31.4,39.69,47.98,43.0,78.0,72.0,50.0,2.18,Mua < Bán,19.6,49.1,0.48,61.0,Mua,Trung tính,-1047.0,0.0,0.0,1001.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-9.05,8.89,,0.0,8.89,9.8,28.81,Có,45.0,-37.4,-18.9,162.6,14.7,-85.4,216.6,-94.9,-11.3,-48.5,38.5,48.0,Giá nằm trên SMA(100),,0.0,1331.8,1798.4,2036.2,1582.0,9.4,4.0,1.1,684.9,-0.2,-0.4,81.0,194.0,3.9,2.2,,,,-49.2,-63.95,3227.0,1001.0,17.6,-3.7,5.6,13.0
14,AGR,HSX,Dịch vụ tài chính,3984.0,4.9,2.7,3.5,3.1,4.0,-0.2,1.3,56.7,32.7,0.4,0.8,33.5,1.6,21.8,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),14.26,15.14,-8.82,12.95,37.16,11.99,0.2,35.2,46.31,53.39,73.0,63.0,68.0,37.0,6.48,Mua > Bán,17.7,51.4,0.24,60.0,,Trung tính,-1032.0,,1.0,520.0,MACD Histogram < 0 và tăng dần,0.2,0.2,0.1,0.2,,Giá nằm trên SMA(50),,,,,Trung tính,-3.8,4.73,,1.43,4.73,5.16,436.95,Có,30.0,-5.2,-7.1,118.8,-19.8,12.5,-53.2,-8.5,-9.2,-25.9,38.5,920.5,Giá nằm trên SMA(100),,1.43,1622.7,2187.6,2593.5,2173.3,74.9,4.0,-5.6,-63.8,2.0,-15.7,12.0,98.0,10.0,3.6,,,,-2.13,52.03,2472.0,520.0,11.4,-1.6,6.1,14.3
15,ANV,HSX,Thực phẩm và đồ uống,7136.0,16.3,2.6,1.5,3.0,4.0,0.0,1.3,64.5,92.7,0.1,0.4,14.3,2.2,13.7,0.0,,Giá nằm trên SMA(20),10.64,1.85,22.05,-49.63,28.17,19.28,0.4,129.51,146.69,159.41,98.0,78.0,96.0,87.0,15.86,Mua > Bán,26.85,58.0,3.58,90.0,Chờ mua,Mua,3976.0,3.0,,1871.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-1.47,9.37,,0.19,9.37,67.71,265.01,Có,40.0,-19.2,-26.6,498.0,44.6,8.9,,681.0,-4.8,-8.3,116.5,3861.4,Giá nằm trên SMA(100),Tăng nóng vào phiên hôm trước,0.19,4026.5,5093.8,5803.0,5532.9,4.9,9.0,56.0,152.1,0.2,0.0,333.0,1726.0,1.3,9.9,,,,3190.29,16.91,3262.0,1871.0,42.5,2.4,12.8,37.0
16,APG,HSX,Dịch vụ tài chính,2628.0,-7.2,2.3,1.0,3.0,3.6,0.0,0.9,42.6,98.3,6.8,18.4,-14.7,1.1,-28.3,0.0,,Giá cắt lên SMA(20),-56.16,-2.33,,,19.78,,0.8,7.46,9.46,13.57,48.0,17.0,10.0,30.0,25.94,Mua > Bán,12.55,66.1,29.13,26.0,,Mua mạnh,-160.0,,1.0,-797.0,MACD Histogram > 0 và tăng dần,4.2,3.0,2.4,1.9,,Giá cắt lên SMA(50),,Tín hiệu mua,Tín hiệu mua,,Trung tính,7.26,0.4,,6.81,0.4,10.57,84.81,Có,80.0,-68.6,-42.2,-178.3,148.0,-18.0,-115.7,41.0,-6.7,-39.4,118.3,1174.0,Giá nằm trên SMA(100),,6.81,491.5,691.9,858.9,1097.3,22.0,4.0,551.1,,0.0,0.0,-7.0,161.0,12.7,-4.9,,,,,,2404.0,-797.0,22.5,5.8,4.5,6.1
17,APH,HSX,Hàng & Dịch vụ Công nghiệp,1663.0,3.9,2.4,1.4,3.0,3.8,-0.1,0.8,78.1,91.5,0.6,0.2,17.5,0.7,6.0,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-2.27,8.33,243.55,-26.3,15.5,2.53,0.5,2.93,4.35,5.18,41.0,53.0,51.0,21.0,0.14,Mua > Bán,6.83,45.6,28.17,42.0,,Bán,72.0,2.0,,389.0,MACD Histogram < 0 và tăng dần,0.1,0.0,0.0,0.0,,Giá nằm trên SMA(50),,,,,Trung tính,-3.26,0.59,,0.15,0.59,-9.54,-84.76,Có,65.0,-72.7,-10.2,94.9,-29.1,13.9,7.6,-67.0,-10.1,-88.3,19.6,23.1,Giá nằm trên SMA(100),,0.15,346.4,481.7,607.2,587.8,27.5,6.0,-40.3,319.8,0.3,-0.4,58.0,2305.0,0.1,0.8,,,,-39.56,,2449.0,389.0,1.2,-3.4,1.9,4.0
18,ASG,HSX,Hàng & Dịch vụ Công nghiệp,1521.0,3.1,2.1,1.7,3.0,4.2,-0.1,0.1,100.0,10.3,17.1,1.0,36.4,1.1,12.3,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-0.22,16.71,899.04,-29.81,16.73,3.6,0.4,0.07,0.08,0.09,15.0,29.0,12.0,16.0,0.01,,16.9,44.4,0.77,18.0,,Bán,13.0,1.0,,460.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá nằm dưới SMA(50),,,,,Trung tính,-0.59,-2.31,,0.9,-2.31,-11.52,,Có,65.0,-35.2,-16.0,41.7,18.6,5.8,7.5,436.6,-13.8,-58.5,3.7,1.8,Giá nằm dưới SMA(100),,0.9,3.8,3.7,5.3,4.2,21.5,3.0,9.9,26.7,0.2,0.7,20.0,542.0,0.7,1.3,,,,54.46,-65.96,1346.0,460.0,-5.0,-0.8,-2.1,-2.8
19,ASM,HSX,Thực phẩm và đồ uống,3035.0,1.2,2.0,1.4,2.8,2.6,-0.2,1.2,53.0,37.3,1.4,0.3,46.5,0.6,13.7,0.0,,Giá nằm dưới SMA(20),0.33,-3.32,-7.27,-27.63,12.01,0.46,1.6,14.52,22.3,24.66,55.0,39.0,52.0,14.0,0.96,Mua < Bán,8.2,47.2,12.73,40.0,,Trung tính,446.0,2.0,,176.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.0,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-4.43,-1.44,,0.0,-1.44,-13.32,111.12,Có,55.0,-400.0,-53.3,65.3,-0.7,6.5,-82.5,-72.9,-14.5,-60.8,39.2,393.3,Giá nằm trên SMA(100),,0.0,1282.2,2107.1,2638.6,2226.4,11.4,18.0,23.5,-2.6,-1.1,-0.7,15.0,3354.0,0.2,0.3,,,,-68.6,-89.01,5463.0,176.0,3.8,-3.1,1.8,9.6
20,ASP,HSX,"Điện, nước & xăng dầu khí đốt",181.0,10.7,2.4,1.3,3.5,2.2,0.0,0.8,51.7,10.3,0.7,0.5,5.9,0.6,9.6,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-11.17,5.27,,-29.08,10.61,,1.7,0.35,0.36,0.67,34.0,21.0,30.0,62.0,0.05,,4.88,35.6,48.97,37.0,,Bán,-9.0,,1.0,825.0,MACD Histogram < 0 và tăng dần,0.2,0.2,0.1,0.1,,Giá nằm dưới SMA(50),,,,,Trung tính,-3.37,-10.62,,0.62,-10.62,16.47,2.54,Có,45.0,-237.8,-29.1,30.8,5.5,-21.0,,,-15.6,-69.5,28.4,176.4,Giá nằm dưới SMA(100),,0.62,59.5,61.4,113.6,105.3,56.6,1.0,14.0,,1.1,0.0,-6.0,838.0,0.1,1.9,,,,,3.69,309.0,825.0,2.6,-4.2,-7.5,-5.1
21,AST,HSX,Bán lẻ,3218.0,36.2,2.9,3.0,3.0,5.0,0.1,0.6,87.5,40.0,0.9,1.0,16.2,5.6,9.7,5.6,,Giá nằm trên SMA(20),20.95,3.11,28.59,-4.88,63.77,15.88,0.1,1.92,1.61,2.41,88.0,82.0,66.0,68.0,0.11,Mua > Bán,71.5,63.9,45.02,76.0,,Mua mạnh,254.0,3.0,,4406.0,MACD Histogram > 0 và tăng dần,0.1,0.1,0.0,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,6.88,12.07,,0.0,12.07,30.79,68.33,Có,30.0,2.8,9.4,198.3,27.1,13.3,91.7,56.5,-1.8,-12.5,59.3,97.2,Giá nằm trên SMA(100),,0.0,23.0,22.2,32.8,24.8,78.6,3.0,2.3,14.4,-26.9,0.3,63.0,394.0,2.2,22.3,,,,57.2,124.51,576.0,4406.0,23.2,4.1,7.7,14.1
22,ATP,HSX,Thực phẩm và đồ uống,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BAF,HSX,Thực phẩm và đồ uống,10443.0,15.5,2.3,1.7,3.4,3.6,0.1,0.8,64.8,88.1,0.1,0.2,21.3,2.5,13.0,0.0,,Giá nằm dưới SMA(20),8.5,,1102.06,,24.69,14.03,0.7,177.51,241.1,240.52,12.0,44.0,16.0,92.0,8.63,Mua > Bán,34.2,42.7,2.97,41.0,Chờ mua,Bán,-2603.0,,1.0,1612.0,MACD Histogram < 0 và giảm dần,0.1,0.0,0.0,0.0,,Giá nằm dưới SMA(50),,,,,Trung tính,-8.8,-0.87,,-0.44,-0.87,87.4,,Có,45.0,-21.1,-25.8,490.2,5.0,-13.0,465.1,10.8,-11.9,-10.1,94.3,271.4,Giá nằm dưới SMA(100),,-0.44,4142.0,5939.0,6420.0,5129.6,28.2,13.0,23.5,47.0,0.3,0.1,195.0,1387.0,1.9,6.2,,,,201.93,,4260.0,1612.0,8.8,-3.2,-1.7,-1.0
24,BBC,HSX,Thực phẩm và đồ uống,1646.0,7.9,3.1,2.2,3.0,5.0,0.3,0.2,,37.5,,,14.1,1.1,8.3,0.0,,,19.53,3.41,20.8,0.02,29.04,3.23,0.2,0.22,0.2,0.2,86.0,82.0,94.0,90.0,,,,,0.59,88.0,,,-3.0,0.0,0.0,6241.0,,,,,,,,,,,,,,,,,,,,Có,41.1,9.8,7.9,117.0,6.1,-3.6,-0.6,5.3,,,,,,,,,,,,99.8,1.0,-20.4,-51.5,-0.1,-3.2,9.0,276.0,0.9,5.9,,,,-4.41,-2.94,1521.0,6241.0,,,,
25,BCE,HSX,Xây dựng và Vật liệu,390.0,26.6,3.0,3.3,3.5,4.6,0.3,0.2,17.6,85.2,0.7,0.4,4.2,1.0,3.6,0.0,,Giá nằm dưới SMA(20),138.8,-14.23,9473.17,14.94,12.39,5.51,0.1,1.21,1.54,2.5,30.0,23.0,23.0,29.0,0.24,Mua > Bán,11.05,41.9,2.88,26.0,,Bán,29.0,1.0,,2638.0,MACD Histogram < 0 và tăng dần,0.2,0.2,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-5.15,-4.74,,-0.9,-4.74,92.51,50.33,Có,45.0,6.4,3.9,92.3,613.4,-11.4,,,-10.2,-51.6,108.9,487.5,Giá nằm trên SMA(100),,-0.9,96.9,117.1,177.1,205.9,49.3,0.0,1159.7,,,0.0,7.0,118.0,1.0,15.1,,,,,153.54,377.0,2638.0,14.9,-4.7,0.8,5.5
26,BCG,HSX,Dịch vụ tài chính,3151.0,4.8,2.5,3.5,2.8,3.0,-0.4,1.0,32.1,25.3,14.2,1.0,7.8,0.3,22.6,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),8.97,22.64,584.96,12.35,18.86,11.2,0.5,18.02,29.45,38.67,55.0,14.0,69.0,1.0,3.45,Mua > Bán,3.61,47.7,1.25,35.0,,Bán,553.0,,1.0,459.0,MACD Histogram < 0 và tăng dần,0.2,0.1,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-2.43,-6.48,,0.84,-6.48,-46.83,-16.26,Không,75.0,-344.6,-23.3,404.0,-3.8,11.8,,2210.3,-47.1,-84.8,29.4,68.6,Giá nằm trên SMA(100),,0.84,3857.2,6703.0,8768.5,11409.5,16.1,26.0,,,0.0,,,,,0.9,,,,,,,459.0,-19.1,-2.5,2.8,10.4
27,BCM,HSX,Bất động sản,70276.0,18.2,2.3,2.7,4.2,2.8,-0.1,1.1,45.2,84.1,6.6,0.3,19.4,3.3,25.8,0.0,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),-33.53,-8.6,-9.74,-2.54,71.77,58.17,1.0,29.7,36.08,50.81,72.0,33.0,52.0,28.0,2.95,Mua < Bán,67.1,44.7,2.14,46.0,Chờ bán,Bán,19.0,,1.0,3498.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá cắt xuống SMA(50),,,,,Trung tính,-4.82,-3.87,,-1.18,-3.87,-2.96,,Có,4.0,-27.7,-34.0,3620.2,118.0,127.0,436.4,203.3,-18.6,-29.0,34.7,462.5,Giá nằm trên SMA(100),,-1.18,347.4,439.7,606.0,688.9,95.4,90.0,36.8,309.3,-37.1,0.5,1466.0,2521.0,9.2,6.5,,,"{'vi': 'Giá cắt xuống SMA(200)', 'en': 'Price cross below SMA(200)'}",36.11,86.03,20998.0,3498.0,-0.2,-3.5,-0.9,6.0
28,BFC,HSX,Hóa chất,2515.0,27.3,2.8,3.2,3.3,4.0,0.0,0.9,41.0,47.4,0.0,0.1,7.6,2.0,4.8,7.9,,Giá nằm dưới SMA(20),8.96,8.82,140.83,36.99,11.7,3.27,0.5,84.01,75.61,60.74,2.0,19.0,16.0,46.0,1.81,Mua < Bán,44.2,44.5,3.25,21.0,Chờ mua,Bán,-433.0,,1.0,5823.0,MACD Histogram < 0 và giảm dần,0.0,0.0,0.0,0.0,,Giá nằm dưới SMA(50),,,,,Trung tính,-7.53,-5.05,,0.45,-5.05,7.19,328.53,Có,35.0,-16.4,-11.5,332.9,21.2,31.6,-31.0,42.9,-13.5,-13.0,43.2,605.9,Giá nằm trên SMA(100),,0.45,1127.8,1532.9,1307.3,1099.7,70.1,3.0,38.4,24.9,-1.5,-1.6,116.0,3535.0,0.2,9.4,,,,-4.8,177.61,1279.0,5823.0,8.4,-3.4,-3.6,1.0
