,ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_forward,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
97,DRL,HSX,"Điện, nước & xăng dầu khí đốt",542.0,40.6,2.8,3.1,3.6,4.2,0.0,0.2,,53.2,,,11.1,4.5,9.1,8.9,,,-13.36,0.31,-22.86,-4.27,69.85,51.37,0.0,0.25,0.34,0.49,33.0,50.0,78.0,30.0,,,,,2.88,48.0,,,-2.0,2.0,,5145.0,,,,,,,,,,,,,,,,,,,,Có,70.0,1.5,6.2,48.9,28.2,16.5,23.0,14.5,,,,,,,,,,,,30.4,1.0,17.0,8.7,,-1.9,14.0,26.0,5.4,37.1,,,,-5.94,5.12,120.0,5145.0,,,,
98,DSC,HSX,Dịch vụ tài chính,4097.0,8.2,2.2,2.8,3.0,2.6,-0.1,1.1,49.1,63.5,1.9,0.7,20.9,1.6,19.6,0.0,Giá cắt lên SMA(5),Giá nằm trên SMA(20),14.75,133.98,47.45,,77.32,35.25,1.3,13.52,17.18,10.82,4.0,88.0,79.0,20.0,5.95,Mua < Bán,21.4,60.9,0.09,48.0,,Mua,144.0,,1.0,959.0,MACD Histogram < 0 và tăng dần,0.6,0.4,0.5,0.9,Giá cắt lên SMA(10),Giá nằm trên SMA(50),,,,,Trung tính,-9.51,23.7,,7.0,23.7,-2.75,303.87,Có,13.0,-68.0,-47.5,196.3,12.7,-2.1,123.2,-8.7,-10.1,-64.1,56.8,648.6,Giá nằm trên SMA(100),,7.0,480.5,778.0,520.2,308.7,34.2,7.0,-3.3,-16.8,0.2,0.6,45.0,127.0,8.0,3.9,,,,37.53,,2497.0,959.0,29.7,9.0,22.2,30.7
99,DSE,HSX,Dịch vụ tài chính,10061.0,4.9,2.7,2.1,3.7,2.2,0.0,1.0,60.5,44.8,0.1,1.4,49.3,2.4,57.1,1.9,,Giá nằm trên SMA(20),,,-20.62,,51.36,25.27,1.8,60.69,73.3,51.44,57.0,85.0,74.0,59.0,31.17,Mua > Bán,30.35,66.9,12.18,69.0,,Mua mạnh,-2024.0,,1.0,600.0,MACD Histogram > 0 và giảm dần,0.7,0.4,0.6,0.8,,Giá nằm trên SMA(50),,,,,Trung tính,1.0,16.28,,2.53,16.28,22.53,,Có,35.0,-72.4,-61.1,203.9,46.4,34.1,114.7,-24.3,-2.2,0.2,61.4,59.3,Giá nằm trên SMA(100),,2.53,1559.1,2393.8,1823.5,1293.4,95.2,17.0,19.2,38.2,0.8,-3.1,73.0,290.0,10.5,2.0,,,,-16.04,66011.9,4156.0,600.0,23.6,11.9,18.6,26.1
100,DSN,HSX,Du lịch và Giải trí,544.0,23.5,2.9,3.1,3.5,4.2,-0.1,0.2,56.5,29.5,27.2,2.1,7.4,1.7,6.6,7.5,,Giá nằm dưới SMA(20),-12.57,-0.17,-17.69,-0.54,62.3,40.9,0.0,0.4,0.6,0.73,55.0,45.0,55.0,29.0,0.11,,45.0,39.3,15.01,46.0,,Bán,4.0,0.0,0.0,6085.0,MACD Histogram < 0 và tăng dần,0.3,0.3,0.2,0.2,,Giá nằm dưới SMA(50),,,,,Trung tính,-0.11,-2.6,,0.0,-2.6,-12.14,40.83,Có,55.0,0.5,0.8,73.5,-20.7,-25.4,-29.4,-47.1,-15.6,-17.0,0.9,1175.3,Giá nằm dưới SMA(100),,0.0,7.3,9.0,12.5,11.9,38.2,1.0,79.3,222.1,,-0.3,28.0,68.0,2.9,20.3,,,,-27.11,115.12,319.0,6085.0,-7.2,-0.5,-1.8,-2.5
101,DTA,HSX,Bất động sản,87.0,0.4,1.8,2.0,,2.0,0.0,0.7,66.7,64.1,2.2,0.5,98.4,0.4,22.3,0.0,,Giá nằm dưới SMA(20),41.95,21.73,12.37,-24.94,10.52,0.66,0.7,0.21,0.34,0.31,,,,,0.02,,4.67,44.3,0.2,,,Bán,0.0,0.0,0.0,49.0,MACD Histogram < 0 và giảm dần,0.1,0.1,0.1,0.1,,Giá cắt xuống SMA(50),,,,,Trung tính,-15.86,-4.3,,-2.71,-4.3,13.08,28.65,Có,60.0,-158.2,-22.7,0.9,24.7,-11.0,-65.8,-27.1,-19.8,-83.9,44.1,165.1,Giá nằm trên SMA(100),,-2.71,29.1,64.7,54.8,61.5,0.0,0.0,53.1,244.0,,-1.8,0.0,46.0,0.6,0.1,,,,-53.9,-57.29,205.0,49.0,7.0,-4.5,-1.3,0.2
102,DTL,HSX,Tài nguyên Cơ bản,694.0,-7.7,2.1,1.1,2.6,2.6,-0.1,0.4,,28.7,,,-12.3,1.0,-576.3,0.0,,,-0.24,-4.78,,,,,1.3,0.01,0.01,0.02,11.0,61.0,19.0,7.0,,,,,0.01,24.0,,,0.0,1.0,,-929.0,,,,,,,,,,,,,,,,,,,,Có,8.9,-128.0,-47.6,-56.3,48.5,3.1,-187.2,,,,,,,,,,,,,21.6,2.0,58.6,,,-0.1,-26.0,605.0,0.3,-3.0,,,,,,701.0,-929.0,,,,
103,DTT,HSX,Hóa chất,161.0,9.0,2.7,2.0,,4.6,0.0,-0.1,,,,,13.7,1.2,10.1,4.0,,,15.33,3.41,34.26,9.0,17.22,7.3,0.2,0.0,0.0,0.0,,,,,,,,,0.19,,,,0.0,1.0,,1442.0,,,,,,,,,,,,,,,,,,,,Có,50.8,4.5,4.0,11.8,-14.5,2.9,20.0,-8.1,,,,,,,,,,,,8.3,0.0,1.6,32.2,,2.0,3.0,47.0,0.8,6.4,,,,6.93,35.11,132.0,1442.0,,,,
104,DVP,HSX,Hàng & Dịch vụ Công nghiệp,2960.0,25.2,2.7,3.5,3.0,4.2,0.0,0.4,100.0,14.5,1.1,0.3,9.2,2.4,11.6,10.6,,Giá nằm dưới SMA(20),26.43,4.4,1.68,6.31,57.64,45.45,0.0,1.56,1.32,1.82,41.0,29.0,9.0,45.0,0.09,Mua < Bán,74.0,36.5,12.23,31.0,,Bán,-166.0,0.0,0.0,8048.0,MACD Histogram > 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá nằm dưới SMA(50),,,,,Trung tính,0.0,-3.27,,0.0,-3.27,7.32,208.76,Có,30.0,0.6,1.2,321.9,-22.2,4.9,-20.7,5.4,-11.7,-9.3,15.9,1371.0,Giá nằm dưới SMA(100),,0.0,17.6,17.2,21.2,19.1,88.3,3.0,-6.6,4.9,-2.0,0.3,67.0,148.0,4.5,21.0,,,,27.71,30.72,1259.0,8048.0,-2.5,-0.6,-2.8,-2.8
105,DXG,HSX,Bất động sản,23180.0,2.8,2.6,1.8,3.0,4.4,0.0,1.3,46.8,68.2,0.1,0.6,71.4,1.9,26.6,0.0,,Giá nằm trên SMA(20),28.74,-3.78,48.81,-34.23,45.55,8.08,0.3,759.41,678.39,651.51,99.0,86.0,93.0,89.0,131.88,Mua < Bán,22.65,66.2,26.63,92.0,Chờ mua,Mua mạnh,12000.0,3.0,,319.0,MACD Histogram < 0 và tăng dần,0.2,0.2,0.2,0.2,,Giá nằm trên SMA(50),,,,,Trung tính,4.38,13.82,,-0.44,13.82,72.64,233.82,Có,80.0,-11.3,-8.0,324.6,-7.1,-13.1,156.7,54.6,-0.4,-37.6,115.5,1584.3,Giá nằm trên SMA(100),Tăng nóng vào phiên hôm trước,-0.44,31949.1,29605.4,27830.3,25532.0,45.6,32.0,13.1,74.7,23.6,0.9,84.0,1046.0,5.1,1.1,,,,80.96,88.71,12405.0,319.0,50.2,7.2,17.4,36.0
106,DXS,HSX,Bất động sản,7413.0,5.4,2.6,1.9,3.0,4.6,0.2,1.2,44.6,79.4,1.7,0.4,22.5,1.2,16.9,0.0,,Giá nằm trên SMA(20),22.05,-9.83,,-39.36,47.62,17.72,0.3,62.76,72.04,79.05,98.0,80.0,98.0,93.0,7.47,Mua < Bán,12.5,57.3,20.58,92.0,Chờ bán,Mua,-4239.0,3.0,,569.0,MACD Histogram < 0 và tăng dần,0.1,0.1,0.1,0.1,,Giá nằm trên SMA(50),,,,,Trung tính,-2.34,7.76,,-2.34,7.76,102.27,,Có,80.0,-25.9,-12.3,329.3,75.0,-4.1,472.6,28.3,-7.1,-50.9,135.0,264.9,Giá nằm trên SMA(100),Tăng nóng vào phiên hôm trước,-2.34,4372.9,5305.5,5865.6,5722.1,63.9,12.0,139.9,443.8,0.5,0.0,218.0,1229.0,2.5,2.1,,,,,,6268.0,569.0,55.8,2.8,15.0,40.1
